Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
1	29569,0	1161,0	704,0	430,0	1278,0	2017-01
1	31147,0	1369,0	824,0	500,0	1441,0	2017-02
1	36864,0	1450,0	816,0	444,0	1484,0	2017-03
1	31734,0	1458,0	766,0	431,0	1503,0	2017-04
1	37090,0	1435,0	839,0	421,0	1475,0	2017-05
1	34213,0	1383,0	796,0	455,0	1485,0	2017-06
1	32682,0	1264,0	779,0	451,0	1322,0	2017-07
1	36879,0	1395,0	789,0	409,0	1431,0	2017-08
1	34679,0	1442,0	781,0	450,0	1498,0	2017-09
1	35446,0	1432,0	788,0	422,0	1506,0	2017-10
1	33847,0	1453,0	794,0	460,0	1502,0	2017-11
1	32878,0	1335,0	802,0	468,0	1486,0	2017-12
1	28972,0	1169,0	701,0	402,0	1289,0	2018-01
1	31025,0	1375,0	860,0	490,0	1448,0	2018-02
1	36553,0	1452,0	777,0	439,0	1485,0	2018-03
1	35480,0	1457,0	828,0	435,0	1493,0	2018-04
1	36519,0	1436,0	834,0	488,0	1488,0	2018-05
1	34239,0	1396,0	778,0	466,0	1489,0	2018-06
1	32512,0	1280,0	781,0	462,0	1346,0	2018-07
1	37776,0	1420,0	832,0	446,0	1466,0	2018-08
1	34371,0	1442,0	822,0	465,0	1521,0	2018-09
1	38308,0	1477,0	836,0	482,0	1524,0	2018-10
1	35499,0	1538,0	843,0	499,0	1611,0	2018-11
1	34213,0	1425,0	890,0	543,0	1585,0	2018-12
1	32037,0	1258,0	721,0	454,0	1362,0	2019-01
1	34705,0	1466,0	851,0	495,0	1544,0	2019-02
1	36580,0	1519,0	855,0	493,0	1550,0	2019-03
1	37571,0	1525,0	816,0	459,0	1558,0	2019-04
1	38705,0	1497,0	848,0	471,0	1548,0	2019-05
1	32903,0	1435,0	813,0	458,0	1508,0	2019-06
1	33892,0	1299,0	799,0	462,0	1331,0	2019-07
1	37779,0	1454,0	808,0	439,0	1497,0	2019-08
1	35968,0	1443,0	817,0	481,0	1491,0	2019-09
1	39719,0	1481,0	914,0	538,0	1539,0	2019-10
1	35360,0	1477,0	873,0	491,0	1532,0	2019-11
1	32888,0	1330,0	887,0	537,0	1500,0	2019-12
1	31546,0	1214,0	705,0	428,0	1344,0	2020-01
1	32483,0	1410,0	856,0	494,0	1483,0	2020-02
1	23635,0	918,0	484,0	302,0	1493,0	2020-03
1	6868,0	277,0	164,0	102,0	317,0	2020-04
1	7700,0	318,0	188,0	111,0	333,0	2020-05
1	10074,0	391,0	239,0	128,0	438,0	2020-06
1	13023,0	484,0	322,0	155,0	527,0	2020-07
1	14306,0	553,0	363,0	174,0	596,0	2020-08
1	15697,0	616,0	419,0	207,0	643,0	2020-09
1	17480,0	668,0	453,0	224,0	698,0	2020-10
1	17630,0	703,0	503,0	259,0	736,0	2020-11
1	17629,0	696,0	467,0	252,0	757,0	2020-12
1	15890,0	656,0	376,0	224,0	695,0	2021-01
1	16415,0	692,0	436,0	231,0	714,0	2021-02
1	13700,0	548,0	282,0	149,0	721,0	2021-03
1	12800,0	532,0	299,0	163,0	613,0	2021-04
1	15759,0	625,0	425,0	213,0	647,0	2021-05
1	16821,0	649,0	448,0	228,0	676,0	2021-06
1	17642,0	667,0	457,0	240,0	703,0	2021-07
1	19118,0	724,0	480,0	252,0	754,0	2021-08
1	20063,0	787,0	529,0	292,0	812,0	2021-09
1	21100,0	831,0	570,0	285,0	880,0	2021-10
1	22338,0	894,0	626,0	352,0	913,0	2021-11
1	22297,0	847,0	699,0	363,0	961,0	2021-12
1	18756,0	733,0	499,0	275,0	791,0	2022-01
1	20465,0	860,0	587,0	303,0	903,0	2022-02
1	25155,0	963,0	622,0	304,0	998,0	2022-03
1	24189,0	1008,0	612,0	348,0	1044,0	2022-04
1	26548,0	1003,0	670,0	358,0	1036,0	2022-05
1	24725,0	967,0	623,0	364,0	1011,0	2022-06
1	24863,0	938,0	646,0	380,0	1005,0	2022-07
1	27296,0	1015,0	645,0	344,0	1057,0	2022-08
1	26169,0	1035,0	664,0	346,0	1078,0	2022-09
1	26982,0	1059,0	673,0	374,0	1116,0	2022-10
1	25817,0	1062,0	688,0	381,0	1107,0	2022-11
1	25019,0	934,0	734,0	417,0	1142,0	2022-12
1	23408,0	891,0	623,0	363,0	982,0	2023-01
1	23465,0	1025,0	660,0	375,0	1075,0	2023-02
1	27945,0	1087,0	692,0	384,0	1120,0	2023-03
1	25545,0	1091,0	639,0	375,0	1130,0	2023-04
1	28627,0	1086,0	701,0	383,0	1117,0	2023-05
1	26965,0	1060,0	689,0	396,0	1152,0	2023-06
1	26252,0	996,0	684,0	382,0	1037,0	2023-07
1	29284,0	1089,0	686,0	370,0	1133,0	2023-08
1	27791,0	1124,0	690,0	400,0	1174,0	2023-09
1	27047,0	1119,0	696,0	365,0	1183,0	2023-10
1	26516,0	1147,0	709,0	433,0	1183,0	2023-11
2	13476,0	554,0	259,0	165,0	617,0	2017-01
2	14545,0	657,0	329,0	217,0	693,0	2017-02
2	17397,0	698,0	321,0	203,0	730,0	2017-03
2	14690,0	697,0	289,0	190,0	721,0	2017-04
2	17395,0	690,0	324,0	181,0	707,0	2017-05
2	15950,0	670,0	301,0	186,0	704,0	2017-06
2	15343,0	613,0	293,0	200,0	637,0	2017-07
2	17633,0	682,0	306,0	179,0	703,0	2017-08
2	16241,0	699,0	300,0	204,0	716,0	2017-09
2	16637,0	696,0	301,0	179,0	718,0	2017-10
2	15719,0	704,0	298,0	187,0	721,0	2017-11
2	15014,0	635,0	292,0	205,0	713,0	2017-12
2	13602,0	570,0	276,0	167,0	639,0	2018-01
2	14784,0	679,0	353,0	221,0	719,0	2018-02
2	17473,0	713,0	305,0	199,0	742,0	2018-03
2	16870,0	714,0	319,0	188,0	731,0	2018-04
2	17492,0	706,0	336,0	218,0	722,0	2018-05
2	16160,0	684,0	301,0	215,0	722,0	2018-06
2	15368,0	627,0	297,0	201,0	661,0	2018-07
2	18164,0	701,0	318,0	194,0	723,0	2018-08
2	16246,0	705,0	321,0	202,0	733,0	2018-09
2	18431,0	731,0	326,0	204,0	771,0	2018-10
2	16888,0	769,0	326,0	216,0	804,0	2018-11
2	16283,0	711,0	342,0	237,0	786,0	2018-12
2	15982,0	648,0	292,0	203,0	724,0	2019-01
2	17728,0	768,0	360,0	230,0	808,0	2019-02
2	18610,0	807,0	363,0	230,0	838,0	2019-03
2	19637,0	818,0	347,0	216,0	832,0	2019-04
2	20076,0	797,0	358,0	219,0	849,0	2019-05
2	17003,0	771,0	343,0	229,0	801,0	2019-06
2	17670,0	701,0	337,0	218,0	729,0	2019-07
2	19825,0	785,0	345,0	209,0	809,0	2019-08
2	19555,0	808,0	357,0	234,0	829,0	2019-09
2	21563,0	827,0	394,0	256,0	847,0	2019-10
2	19075,0	830,0	379,0	240,0	853,0	2019-11
2	17616,0	745,0	375,0	260,0	844,0	2019-12
2	17665,0	702,0	308,0	208,0	775,0	2020-01
2	18033,0	826,0	390,0	257,0	870,0	2020-02
2	12945,0	515,0	217,0	148,0	839,0	2020-03
2	3726,0	155,0	78,0	49,0	168,0	2020-04
2	4000,0	171,0	86,0	53,0	178,0	2020-05
2	5210,0	206,0	106,0	61,0	233,0	2020-06
2	6651,0	254,0	137,0	73,0	281,0	2020-07
2	7393,0	295,0	158,0	83,0	314,0	2020-08
2	8150,0	329,0	181,0	97,0	344,0	2020-09
2	9020,0	356,0	196,0	107,0	371,0	2020-10
2	9080,0	374,0	217,0	124,0	387,0	2020-11
2	8889,0	364,0	197,0	114,0	394,0	2020-12
2	8244,0	353,0	166,0	102,0	373,0	2021-01
2	8559,0	376,0	196,0	110,0	383,0	2021-02
2	7496,0	308,0	136,0	73,0	386,0	2021-03
2	6979,0	297,0	143,0	83,0	338,0	2021-04
2	8472,0	344,0	197,0	106,0	358,0	2021-05
2	9094,0	360,0	210,0	115,0	371,0	2021-06
2	9528,0	371,0	211,0	121,0	388,0	2021-07
2	10574,0	411,0	221,0	130,0	432,0	2021-08
2	10966,0	442,0	244,0	152,0	453,0	2021-09
2	11359,0	466,0	259,0	143,0	488,0	2021-10
2	11985,0	497,0	280,0	180,0	512,0	2021-11
2	11954,0	469,0	310,0	181,0	535,0	2021-12
2	10118,0	408,0	231,0	135,0	444,0	2022-01
2	11356,0	491,0	271,0	168,0	519,0	2022-02
2	14201,0	560,0	290,0	169,0	588,0	2022-03
2	13555,0	588,0	288,0	179,0	608,0	2022-04
2	15148,0	590,0	311,0	181,0	615,0	2022-05
2	14080,0	570,0	291,0	199,0	591,0	2022-06
2	13941,0	548,0	294,0	191,0	570,0	2022-07
2	15832,0	605,0	303,0	178,0	638,0	2022-08
2	15239,0	619,0	315,0	179,0	641,0	2022-09
2	15388,0	625,0	317,0	200,0	655,0	2022-10
2	14574,0	629,0	318,0	194,0	657,0	2022-11
2	13602,0	530,0	327,0	200,0	657,0	2022-12
2	13130,0	519,0	285,0	180,0	588,0	2023-01
2	13364,0	609,0	311,0	196,0	643,0	2023-02
2	16048,0	649,0	325,0	201,0	678,0	2023-03
2	14544,0	649,0	299,0	189,0	671,0	2023-04
2	16609,0	650,0	332,0	196,0	670,0	2023-05
2	15404,0	630,0	321,0	211,0	676,0	2023-06
2	15113,0	597,0	317,0	198,0	624,0	2023-07
2	17441,0	667,0	329,0	195,0	703,0	2023-08
2	16148,0	682,0	333,0	208,0	704,0	2023-09
2	15814,0	682,0	324,0	187,0	718,0	2023-10
2	15357,0	698,0	331,0	212,0	723,0	2023-11
3	31145,0	1227,0	732,0	451,0	1343,0	2017-01
3	31994,0	1392,0	865,0	540,0	1453,0	2017-02
3	37754,0	1473,0	875,0	481,0	1509,0	2017-03
3	32650,0	1474,0	824,0	479,0	1526,0	2017-04
3	37870,0	1449,0	903,0	469,0	1494,0	2017-05
3	35247,0	1405,0	856,0	520,0	1471,0	2017-06
3	33860,0	1293,0	842,0	499,0	1361,0	2017-07
3	37747,0	1414,0	855,0	452,0	1449,0	2017-08
3	35400,0	1454,0	830,0	493,0	1476,0	2017-09
3	36496,0	1455,0	835,0	485,0	1532,0	2017-10
3	35010,0	1475,0	860,0	532,0	1517,0	2017-11
3	34120,0	1364,0	878,0	516,0	1499,0	2017-12
3	29999,0	1196,0	748,0	439,0	1309,0	2018-01
3	31820,0	1385,0	911,0	555,0	1457,0	2018-02
3	37387,0	1467,0	823,0	501,0	1505,0	2018-03
3	36247,0	1471,0	883,0	482,0	1530,0	2018-04
3	37542,0	1455,0	900,0	559,0	1508,0	2018-05
3	35392,0	1423,0	842,0	527,0	1508,0	2018-06
3	33836,0	1317,0	829,0	518,0	1369,0	2018-07
3	38679,0	1440,0	884,0	504,0	1483,0	2018-08
3	35197,0	1457,0	870,0	515,0	1544,0	2018-09
3	38145,0	1460,0	854,0	505,0	1527,0	2018-10
3	35008,0	1493,0	864,0	523,0	1571,0	2018-11
3	34178,0	1399,0	933,0	573,0	1552,0	2018-12
3	31644,0	1230,0	736,0	475,0	1332,0	2019-01
3	33962,0	1420,0	864,0	526,0	1492,0	2019-02
3	36165,0	1470,0	890,0	556,0	1507,0	2019-03
3	36898,0	1477,0	861,0	492,0	1511,0	2019-04
3	38229,0	1461,0	893,0	495,0	1507,0	2019-05
3	32737,0	1411,0	856,0	458,0	1477,0	2019-06
3	34013,0	1294,0	830,0	481,0	1329,0	2019-07
3	37379,0	1424,0	837,0	468,0	1458,0	2019-08
3	36261,0	1447,0	850,0	495,0	1504,0	2019-09
3	38994,0	1454,0	909,0	520,0	1513,0	2019-10
3	35360,0	1463,0	892,0	506,0	1513,0	2019-11
3	33225,0	1332,0	924,0	557,0	1479,0	2019-12
3	31597,0	1213,0	721,0	428,0	1319,0	2020-01
3	31992,0	1382,0	860,0	528,0	1451,0	2020-02
3	24332,0	939,0	511,0	325,0	1478,0	2020-03
3	7984,0	323,0	189,0	117,0	362,0	2020-04
3	8889,0	369,0	215,0	127,0	385,0	2020-05
3	11542,0	448,0	272,0	152,0	494,0	2020-06
3	14675,0	546,0	359,0	182,0	593,0	2020-07
3	15807,0	610,0	398,0	202,0	660,0	2020-08
3	17121,0	671,0	453,0	233,0	698,0	2020-09
3	18881,0	722,0	482,0	252,0	759,0	2020-10
3	18956,0	754,0	538,0	289,0	798,0	2020-11
3	19256,0	758,0	512,0	283,0	839,0	2020-12
3	17091,0	706,0	401,0	241,0	750,0	2021-01
3	17626,0	746,0	463,0	256,0	772,0	2021-02
3	14996,0	599,0	310,0	172,0	779,0	2021-03
3	13943,0	578,0	323,0	184,0	664,0	2021-04
3	16848,0	669,0	451,0	233,0	695,0	2021-05
3	17862,0	693,0	471,0	230,0	725,0	2021-06
3	18695,0	711,0	475,0	246,0	747,0	2021-07
3	20129,0	766,0	495,0	259,0	801,0	2021-08
3	20704,0	819,0	535,0	289,0	868,0	2021-09
3	21708,0	858,0	574,0	299,0	907,0	2021-10
3	22937,0	918,0	639,0	367,0	939,0	2021-11
3	23052,0	874,0	717,0	381,0	994,0	2021-12
3	19399,0	758,0	508,0	289,0	824,0	2022-01
3	21084,0	883,0	592,0	346,0	921,0	2022-02
3	26073,0	996,0	634,0	345,0	1048,0	2022-03
3	24646,0	1023,0	618,0	375,0	1048,0	2022-04
3	26929,0	1010,0	673,0	393,0	1045,0	2022-05
3	25162,0	980,0	635,0	392,0	1022,0	2022-06
3	24987,0	948,0	638,0	379,0	998,0	2022-07
3	27388,0	1015,0	640,0	372,0	1060,0	2022-08
3	26224,0	1035,0	664,0	358,0	1077,0	2022-09
3	26821,0	1051,0	665,0	379,0	1097,0	2022-10
3	25901,0	1063,0	695,0	396,0	1110,0	2022-11
3	25432,0	945,0	784,0	431,0	1145,0	2022-12
3	23278,0	887,0	603,0	372,0	978,0	2023-01
3	23296,0	1012,0	657,0	395,0	1065,0	2023-02
3	27409,0	1067,0	676,0	387,0	1096,0	2023-03
3	25011,0	1066,0	627,0	371,0	1157,0	2023-04
